,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,Mar del Plata,-38.0023,-57.5575,47.12,64,75,11.99,AR,1627425478
30,Baykit,61.67,96.37,66.81,86,100,2.91,RU,1627425939
31,Bilma,18.6853,12.9164,86.45,49,85,12.26,NE,1627425941
32,Saldanha,-33.0117,17.9442,55.45,76,100,8.08,ZA,1627425645
33,East London,-33.0153,27.9116,73.06,25,0,11.81,ZA,1627425503
34,Geraldton,-28.7667,114.6,62.13,87,75,3.44,AU,1627425426
35,Mount Gambier,-37.8333,140.7667,46.31,87,75,10.36,AU,1627425946
36,Jinka,5.65,36.65,64.69,67,100,1.21,ET,1627425947
37,Laguna,38.421,-121.4238,103.14,20,1,4.0,US,1627425948
38,Narsaq,60.9167,-46.05,50.22,70,60,4.36,GL,1627425522
39,Lourdes,43.1,-0.05,67.95,94,90,3.44,FR,1627425951
40,Varkaus,62.3153,27.873,66.31,68,85,2.59,FI,1627425952
41,Kulhudhuffushi,6.6221,73.07,81.57,79,80,14.52,MV,1627425953
42,Yulara,-25.2406,130.9889,58.84,55,90,0.0,AU,1627425781
43,El Banco,9.0011,-73.9758,78.76,91,88,2.75,CO,1627425956
44,Bahía Honda,22.9036,-83.1592,85.21,66,93,6.8,CU,1627425957
45,Khatanga,71.9667,102.5,77.56,55,82,16.35,RU,1627425470
46,Ponta do Sol,32.6667,-17.1,74.01,68,9,5.91,PT,1627425499
47,Provideniya,64.3833,-173.3,50.11,87,90,13.42,RU,1627425783
48,Vaini,-21.2,-175.2,69.96,88,90,8.05,TO,1627425502
49,Thompson,55.7435,-97.8558,77.16,44,75,12.66,CA,1627425812
50,Labuhan,-6.8844,112.2051,72.88,88,21,7.52,ID,1627425964
51,Ostrovnoy,68.0531,39.5131,46.04,88,60,4.32,RU,1627425819
52,Batemans Bay,-35.7167,150.1833,64.09,44,77,10.2,AU,1627425967
53,Chokurdakh,70.6333,147.9167,40.51,70,100,11.23,RU,1627425505
54,Sola,-13.8833,167.55,81.27,78,75,11.5,VU,1627425876
55,Lac du Bonnet,50.2536,-96.0612,89.11,23,0,5.55,CA,1627425970
56,Bo Rai,12.5728,102.5371,75.49,97,100,2.35,TH,1627425972
57,Jamestown,42.097,-79.2353,77.29,65,90,1.01,US,1627425497
58,Rikitea,-23.1203,-134.9692,74.62,77,100,13.33,PF,1627425445
59,Werda,-25.2667,23.2833,47.05,46,0,8.99,BW,1627425975
60,Gimli,50.6336,-96.9907,89.44,57,0,9.22,CA,1627425735
61,Mthatha,-31.5889,28.7844,57.76,28,0,10.36,ZA,1627425969
62,Mataura,-46.1927,168.8643,50.49,82,47,0.69,NZ,1627425597
63,Talcahuano,-36.7167,-73.1167,53.28,66,0,8.05,CL,1627425862
64,Puerto Ayora,-0.7393,-90.3518,80.56,74,10,11.54,EC,1627425529
65,Breytovo,58.2993,37.8617,61.95,83,23,3.42,RU,1627425982
66,Klaksvík,62.2266,-6.589,52.72,96,94,9.33,FO,1627425984
67,Sur,22.5667,59.5289,94.96,45,100,22.01,OM,1627425985
68,Carnarvon,-24.8667,113.6333,57.27,54,100,4.61,AU,1627425472
69,Ketchikan,55.3422,-131.6461,63.07,67,75,4.61,US,1627425987
70,Yellowknife,62.456,-114.3525,59.56,47,75,3.0,CA,1627425429
71,Forsytheganj,52.6333,29.7333,64.4,95,100,4.29,BY,1627425742
72,Husavik,66.0449,-17.3389,49.91,99,100,9.44,IS,1627425991
73,Port Alfred,-33.5906,26.891,63.45,73,12,14.18,ZA,1627425452
74,Lebu,-37.6167,-73.65,47.75,78,0,23.06,CL,1627425724
75,Kostanay,53.1667,63.5833,60.39,56,59,7.25,KZ,1627425995
76,Cidreira,-30.1811,-50.2056,49.89,48,41,19.64,BR,1627425551
77,Abhā,18.2164,42.5053,66.02,82,0,5.75,SA,1627425730
78,Broken Hill,-31.95,141.4333,53.31,87,40,10.36,AU,1627425998
79,Ushtobe,45.2514,77.9838,67.32,42,0,17.16,KZ,1627425999
80,Brazzaville,-4.2658,15.2832,75.51,88,17,3.44,CG,1627426001
81,New Norfolk,-42.7826,147.0587,54.9,74,93,7.92,AU,1627425318
82,Aksu,41.1231,80.2644,83.7,33,85,9.66,CN,1627426003
83,Port Lincoln,-34.7333,135.8667,53.2,66,6,26.06,AU,1627426005
84,Yatou,37.15,122.3833,80.24,73,92,5.88,CN,1627426006
85,Port Hawkesbury,45.6169,-61.3485,71.78,89,1,1.99,CA,1627426007
86,Morondava,-20.2833,44.2833,66.15,54,0,11.1,MG,1627426008
87,Tuatapere,-46.1333,167.6833,50.83,79,7,2.93,NZ,1627425746
88,Bredasdorp,-34.5322,20.0403,56.52,72,100,12.66,ZA,1627425416
89,Tarragona,41.129,1.249,74.32,78,0,1.14,ES,1627426012
90,Gogrial,8.5332,28.1004,69.35,97,56,3.98,SS,1627426013
91,Bluff,-46.6,168.3333,50.81,70,19,14.85,NZ,1627425592
92,Lucapa,-8.4192,20.7447,61.36,31,35,2.66,AO,1627426016
93,Pevek,69.7008,170.3133,34.47,94,100,9.55,RU,1627425565
94,Bethel,41.3712,-73.414,86.11,64,1,11.5,US,1627425436
95,Pacifica,37.6138,-122.4869,97.74,75,40,7.0,US,1627425723
96,Castro,-24.7911,-50.0119,48.38,93,100,6.78,BR,1627425653
97,Shar,49.5886,81.0453,57.16,54,0,7.02,KZ,1627426022
98,Coquimbo,-29.9533,-71.3436,55.13,82,0,6.91,CL,1627426023
99,Kez,57.8979,53.7152,46.27,80,24,5.28,RU,1627426024
100,Port Elizabeth,-33.918,25.5701,59.29,88,0,12.66,ZA,1627425707
101,Taltal,-25.4,-70.4833,56.93,79,10,3.76,CL,1627426027
102,Butaritari,3.0707,172.7902,81.61,70,98,1.88,KI,1627425212
103,Hay River,60.8156,-115.7999,62.58,51,75,4.61,CA,1627426029
104,Dikson,73.5069,80.5464,39.22,100,100,17.87,RU,1627426031
105,Saint Paul Harbor,57.79,-152.4072,60.31,63,75,3.44,US,1627425541
106,Inhambane,-23.865,35.3833,64.54,64,0,7.49,MZ,1627426033
107,Saint George,37.1041,-113.5841,95.63,28,1,4.0,US,1627425773
108,Nuuk,64.1835,-51.7216,57.81,38,52,23.02,GL,1627426035
109,Phonhong,18.5007,102.4166,74.61,97,97,1.63,LA,1627426037
110,Samarina,57.8878,27.8054,69.69,85,100,10.0,RU,1627426038
111,Saint-Philippe,-21.3585,55.7679,67.59,87,53,13.33,RE,1627425893
112,Bonavista,48.6499,-53.1147,66.2,97,100,13.42,CA,1627425598
113,Funtua,11.5233,7.3081,67.12,94,98,7.87,NG,1627426042
114,Colares,38.7992,-9.4469,68.29,74,0,17.0,PT,1627426043
115,Qaanaaq,77.484,-69.3632,41.77,99,100,5.95,GL,1627425521
116,Asău,46.4333,26.4,70.95,75,43,5.55,RO,1627426045
117,Padang,-0.9492,100.3543,75.25,88,50,3.76,ID,1627426047
118,Kruisfontein,-34.0033,24.7314,52.88,87,6,13.2,ZA,1627425594
119,Gwadar,25.1216,62.3254,82.2,88,100,6.06,PK,1627425863
120,Paamiut,61.994,-49.6678,44.8,78,11,9.35,GL,1627425782
121,Bambous Virieux,-20.3428,57.7575,68.22,100,75,19.57,MU,1627426052
122,Kushima,31.4583,131.2333,78.84,72,0,2.68,JP,1627426053
123,Chunskiy,56.0815,99.6342,64.53,97,100,3.42,RU,1627426054
124,San Patricio,28.017,-97.5169,95.72,46,88,12.73,US,1627425512
125,Kidal,18.4411,1.4078,83.07,51,67,8.97,ML,1627426057
126,Mount Isa,-20.7333,139.5,64.17,63,74,0.0,AU,1627426058
127,Rokytne,51.2796,27.214,64.38,97,94,6.08,UA,1627426059
128,Taoudenni,22.6783,-3.9836,103.21,8,56,10.13,ML,1627425475
129,Pauini,-7.7136,-66.9764,83.66,44,78,0.49,BR,1627426062
130,Barrow,71.2906,-156.7887,42.82,84,90,17.27,US,1627425563
131,Tasiilaq,65.6145,-37.6368,44.76,79,31,7.81,GL,1627425714
132,Kraskino,42.7114,130.7794,77.13,73,69,1.5,RU,1627426065
133,Vila Velha,-20.3297,-40.2925,77.97,71,0,10.36,BR,1627426066
134,Te Anau,-45.4167,167.7167,48.11,83,19,3.11,NZ,1627425683
135,Áratos,41.0833,25.55,75.15,64,0,3.65,GR,1627426069
136,Mossamedes,-15.1961,12.1522,65.52,82,57,1.03,AO,1627426061
137,Mineiros,-17.5694,-52.5511,76.59,37,74,5.57,BR,1627426071
138,São Félix do Xingu,-6.6447,-51.995,79.14,38,0,1.07,BR,1627426073
139,Hong Kong,22.2855,114.1577,87.96,92,98,11.01,HK,1627425706
140,Marabu,4.4148,114.0089,78.94,94,20,3.44,MY,1627426075
141,Isabela,6.7085,121.9711,77.05,88,95,4.32,PH,1627426076
142,Metro,-5.1131,105.3067,69.21,86,22,4.41,ID,1627426078
143,Tevriz,57.509,72.4042,53.1,98,99,5.46,RU,1627426079
144,Dingle,10.9995,122.6711,80.46,84,100,10.4,PH,1627425357
145,Tessalit,20.1986,1.0114,89.89,40,93,18.99,ML,1627425750
146,Ribeira Grande,38.5167,-28.7,72.32,83,73,10.94,PT,1627425370
147,Sungai Penuh,-2.0833,101.3833,61.72,94,42,3.0,ID,1627426084
148,Cap Malheureux,-19.9842,57.6142,68.47,90,71,7.0,MU,1627425757
149,Cape Town,-33.9258,18.4232,54.09,83,20,1.99,ZA,1627425319
150,Palmer,42.1584,-72.3287,87.17,63,40,4.0,US,1627425548
151,San Angelo,31.4638,-100.437,100.98,29,1,1.01,US,1627425980
152,Atuona,-9.8,-139.0333,78.19,66,15,18.95,PF,1627425514
153,Vanimo,-2.6741,141.3028,80.4,86,87,5.48,PG,1627426091
154,Avarua,-21.2078,-159.775,77.05,65,91,4.61,CK,1627425633
155,North Bend,43.4065,-124.2243,74.91,76,1,23.02,US,1627425705
156,Adrar,20.5022,-10.0711,90.99,23,100,12.84,MR,1627426094
157,Moussoro,13.6408,16.4901,77.52,80,100,12.44,TD,1627426096
158,Tadine,-21.55,167.8833,70.59,54,66,14.94,NC,1627426097
159,George Town,5.4112,100.3354,82.89,87,20,1.99,MY,1627425345
160,Narasannapeta,18.4167,84.05,82.96,69,100,5.86,IN,1627426100
161,Kwang Binh,17.4833,106.6,82.2,76,100,8.63,VN,1627426101
162,Nikolskoye,59.7035,30.7861,67.01,64,92,4.94,RU,1627426102
163,Armidale,-30.5167,151.65,48.81,62,3,11.72,AU,1627426104
164,Havøysund,70.9963,24.6622,45.48,92,28,6.38,NO,1627425873
165,Esperance,-33.8667,121.9,44.44,79,27,14.56,AU,1627425869
166,Portland,45.5234,-122.6762,91.4,41,40,1.99,US,1627425898
167,Jurilovca,44.7667,28.8667,72.03,57,24,8.25,RO,1627426108
168,Río Gallegos,-51.6226,-69.2181,42.85,87,90,9.22,AR,1627425916
169,Olinda,-8.0089,-34.8553,76.73,73,20,8.05,BR,1627426111
170,Destin,30.3935,-86.4958,93.83,79,90,12.66,US,1627426112
171,Hasaki,35.7333,140.8333,79.29,83,76,16.53,JP,1627426114
172,Rocha,-34.4833,-54.3333,44.02,70,31,18.9,UY,1627426115
173,Katsuura,35.1333,140.3,82.51,82,100,18.07,JP,1627426074
174,Warrnambool,-38.3833,142.4833,53.82,76,35,24.14,AU,1627426118
175,Opuwo,-18.0607,13.84,57.63,32,0,7.85,NA,1627426119
176,Nouadhibou,20.931,-17.0347,69.78,83,3,19.57,MR,1627426120
177,Puerto El Triunfo,13.2833,-88.55,92.32,73,79,5.55,SV,1627426122
178,Matamoros,25.5333,-103.25,93.11,22,0,10.94,MX,1627426123
179,Lorengau,-2.0226,147.2712,84.65,71,7,6.24,PG,1627426124
180,Qaqortoq,60.7167,-46.0333,50.5,73,54,1.03,GL,1627426125
181,Comodoro Rivadavia,-45.8667,-67.5,44.46,61,0,2.3,AR,1627425888
182,Tsogni,-2.7942,10.0988,71.19,92,82,5.48,GA,1627426128
183,Road Town,18.4167,-64.6167,84.24,70,40,10.36,VG,1627426129
184,Luganville,-15.5333,167.1667,77.83,84,93,13.09,VU,1627426131
185,Tottori-shi,35.5,134.2333,75.27,88,75,5.75,JP,1627426004
186,Oranjemund,-28.55,16.4333,53.83,85,9,3.89,NA,1627426133
187,Kandi,11.1342,2.9386,72.1,95,100,4.0,BJ,1627426134
188,Salalah,17.0151,54.0924,78.89,89,90,9.22,OM,1627426136
189,Talnakh,69.4865,88.3972,65.59,88,90,6.98,RU,1627425673
190,Gdynia,54.5189,18.5319,66.04,100,0,2.3,PL,1627426138
191,Saint-Augustin,51.226,-58.6502,60.91,96,99,7.56,CA,1627426139
192,Jumla,29.2747,82.1838,64.67,96,96,1.07,NP,1627425544
193,Constitución,-35.3333,-72.4167,48.02,73,0,7.16,CL,1627426089
194,Sadon,42.8518,44.0037,47.75,98,100,4.72,RU,1627426143
195,Cocachacra,-17.0883,-71.7575,60.28,82,53,5.1,PE,1627425860
196,Upernavik,72.7868,-56.1549,49.01,74,100,14.38,GL,1627426145
197,Albany,42.6001,-73.9662,70.99,88,61,10.0,US,1627425940
198,Meghri,38.9029,46.2446,71.58,75,45,6.53,AM,1627426148
199,Longyearbyen,78.2186,15.6401,44.44,87,75,11.5,SJ,1627426149
200,Patan,27.6667,85.3333,68.38,100,90,2.3,NP,1627426151
201,Atambua,-9.1061,124.8925,72.39,73,70,5.06,ID,1627426066
202,Beidao,34.5686,105.8933,65.7,85,58,1.61,CN,1627426153
203,Bam,29.106,58.357,86.74,15,100,13.78,IR,1627426155
204,Tiksi,71.6872,128.8694,39.85,85,47,10.42,RU,1627425608
205,Pocatello,42.8713,-112.4455,91.31,24,1,13.8,US,1627426157
206,Batagay-Alyta,67.8006,130.4114,49.01,60,15,13.38,RU,1627426158
207,Kiryat Gat,31.61,34.7642,81.28,76,0,1.01,IL,1627426092
208,Semīrom,31.4167,51.5667,65.23,37,1,3.4,IR,1627426161
209,Sørland,67.667,12.6934,55.27,87,5,10.76,NO,1627426162
210,Airai,-8.9266,125.4092,61.07,62,52,3.69,TL,1627426164
211,Bogandinskiy,56.8937,65.8938,55.67,97,50,5.93,RU,1627426165
212,Vila Franca do Campo,37.7167,-25.4333,68.41,87,13,8.61,PT,1627426166
213,São João da Barra,-21.6403,-41.0511,72.46,86,2,20.94,BR,1627426168
214,Santa Maria,-29.6842,-53.8069,43.9,57,0,4.61,BR,1627425917
215,Laas,46.6166,10.7002,63.86,93,96,3.44,IT,1627426170
216,Kumul,42.8,93.45,84.43,19,2,6.67,CN,1627426171
217,Hithadhoo,-0.6,73.0833,80.92,78,97,7.78,MV,1627425642
218,Arraial do Cabo,-22.9661,-42.0278,78.76,65,0,4.61,BR,1627426174
219,Pacific Grove,36.6177,-121.9166,94.15,76,1,3.0,US,1627426175
220,Faanui,-16.4833,-151.75,78.15,74,25,7.72,PF,1627426177
221,Sisimiut,66.9395,-53.6735,53.17,64,100,13.96,GL,1627426178
222,Bilibino,68.0546,166.4372,41.36,85,100,1.14,RU,1627425646
223,Hastings,50.8552,0.5729,63.91,90,26,19.84,GB,1627426180
224,Khomutovo,52.4658,104.4025,57.81,75,3,1.48,RU,1627426182
225,Kysyl-Syr,63.8986,122.7617,64.02,54,13,7.49,RU,1627426183
226,Naze,28.3667,129.4833,77.92,87,97,11.25,JP,1627425925
227,Coyhaique,-45.5752,-72.0662,39.15,75,0,0.0,CL,1627426165
228,Shetpe,44.1667,52.1167,75.58,24,88,20.49,KZ,1627426186
229,Quatre Cocos,-20.2078,57.7625,68.09,87,95,15.46,MU,1627426188
230,Pisco,-13.7,-76.2167,66.25,77,0,18.41,PE,1627426189
231,South Yuba City,39.1166,-121.6391,103.05,22,1,16.11,US,1627426190
232,Mubi,10.2676,13.2644,69.39,90,98,2.35,NG,1627426192
233,Inuvik,68.3499,-133.7218,63.46,72,75,2.3,CA,1627426193
234,Yumen,40.2833,97.2,74.95,22,27,6.51,CN,1627426194
235,Grand Gaube,-20.0064,57.6608,68.38,90,74,7.0,MU,1627425774
236,Honiara,-9.4333,159.95,83.84,73,79,8.5,SB,1627426197
237,Amazar,53.858,120.875,61.29,96,100,1.9,RU,1627426199
238,Carutapera,-1.195,-46.02,77.32,82,15,7.81,BR,1627425571
239,Arawa,-6.2132,155.5367,81.9,81,96,2.89,PG,1627426201
240,Rawson,-43.3002,-65.1023,42.87,65,56,18.14,AR,1627426204
241,Kjøllefjord,70.9457,27.3465,46.38,91,29,6.69,NO,1627426205
242,Ahar,38.4774,47.0699,67.12,73,40,6.31,IR,1627426206
243,Buarcos,40.166,-8.8768,64.67,93,1,13.29,PT,1627426208
244,Xam Nua,20.4197,104.0439,67.51,99,95,3.09,LA,1627426209
245,Huarmey,-10.0681,-78.1522,66.6,81,24,9.64,PE,1627425787
246,Quelimane,-17.8786,36.8883,63.84,90,35,4.14,MZ,1627426211
247,Bandeirantes,-23.11,-50.3675,63.99,86,67,9.28,BR,1627426213
248,Tual,-5.6667,132.75,80.67,82,82,16.33,ID,1627426214
249,Banfora,10.6333,-4.7667,75.51,79,70,4.32,BF,1627426215
250,Luau,-10.7073,22.2247,57.78,35,100,4.52,AO,1627426217
251,Kodinsk,58.6881,99.1844,65.66,91,100,3.53,RU,1627426200
252,Kavieng,-2.5744,150.7967,85.01,69,14,10.76,PG,1627425667
253,Cañete,-37.8,-73.4,43.79,80,0,7.83,CL,1627426220
254,Makakilo City,21.3469,-158.0858,88.12,51,40,11.5,US,1627426221
255,Nouakchott,18.0858,-15.9785,76.93,84,54,14.29,MR,1627426192
256,Ubari,26.5921,12.7805,85.44,18,2,9.17,LY,1627426206
257,Dicabisagan,17.0818,122.4157,82.62,76,100,3.27,PH,1627426225
258,Louiseville,46.2559,-72.9415,69.82,68,88,6.91,CA,1627426226
259,Soloneshnoye,51.6544,84.3197,49.06,91,1,3.96,RU,1627426150
260,Zhigansk,66.7697,123.3711,53.76,63,32,15.41,RU,1627426229
261,Dali,25.7,100.1833,62.44,91,98,1.14,CN,1627425824
262,Gigmoto,13.7796,124.39,82.56,81,100,15.77,PH,1627425766
263,Leningradskiy,69.3833,178.4167,34.16,98,100,7.96,RU,1627426232
264,Waiuku,-37.25,174.75,61.09,73,21,8.63,NZ,1627426234
265,Yarmouth,41.7057,-70.2286,83.44,66,1,11.5,US,1627426235
266,Cabo San Lucas,22.8909,-109.9124,97.61,67,46,11.83,MX,1627425991
267,Wieluń,51.221,18.5696,68.38,67,99,1.16,PL,1627426237
268,Port Macquarie,-31.4333,152.9167,63.9,51,5,8.55,AU,1627426176
269,Kirakira,-10.4544,161.9205,83.19,73,58,10.33,SB,1627426108
270,Mocuba,-16.8392,36.9856,58.8,97,33,3.65,MZ,1627426241
271,Clyde,41.3042,-82.9752,86.31,75,60,7.07,US,1627426242
272,Gbarnga,6.9956,-9.4722,70.25,99,100,2.46,LR,1627426244
273,Mareeba,-17.0,145.4333,66.49,86,11,3.44,AU,1627426245
274,Hualmay,-11.0964,-77.6139,65.16,82,36,11.07,PE,1627426246
275,Fray Bentos,-33.1325,-58.2956,44.73,66,6,9.26,UY,1627426248
276,Port Blair,11.6667,92.75,81.72,84,97,18.79,IN,1627426249
277,Panjāb,34.388,67.0233,56.41,51,25,6.49,AF,1627426250
278,Saint-François,46.4154,3.9054,63.18,97,90,2.3,FR,1627425901
279,Grenå,56.4158,10.8783,64.62,96,55,12.53,DK,1627426253
280,Grindavik,63.8424,-22.4338,53.91,93,0,12.66,IS,1627426254
281,Kamenka,51.3223,42.7678,62.49,78,5,5.41,RU,1627426255
282,Abbeville,50.1,1.8333,63.28,95,27,9.06,FR,1627426101
283,Touros,-5.1989,-35.4608,76.1,83,1,13.02,BR,1627426258
284,Socorro,31.6546,-106.3033,98.1,20,40,0.0,US,1627426259
285,Vitim,59.4511,112.5578,73.87,55,0,4.61,RU,1627426261
286,Gisborne,-38.6533,178.0042,54.95,59,25,4.94,NZ,1627426262
287,Hamilton,39.1834,-84.5333,89.83,52,1,1.01,US,1627425912
288,Ilulissat,69.2167,-51.1,55.42,62,100,2.3,GL,1627426156
289,Bāglung,28.2719,83.5898,70.88,93,80,1.57,NP,1627426265
290,Ahipara,-35.1667,173.1667,58.96,82,44,7.92,NZ,1627425736
291,Pokhara,28.2333,83.9833,72.32,93,91,0.56,NP,1627426268
292,Terrace,54.5163,-128.6035,71.42,52,75,5.75,CA,1627426201
293,Norman Wells,65.282,-126.8329,69.84,56,75,8.05,CA,1627426270
294,Lagoa,39.05,-27.9833,71.22,85,100,10.45,PT,1627425551
295,Thinadhoo,0.5333,72.9333,81.82,74,100,7.96,MV,1627426273
296,Baruun-Urt,46.6806,113.2792,67.19,56,60,2.39,MN,1627426274
297,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,47.68,23,0,5.68,AR,1627426275
298,Tautira,-17.7333,-149.15,82.42,73,87,10.94,PF,1627426277
299,Mushābani,22.5167,86.45,76.41,93,100,10.58,IN,1627426278
300,Izumo,35.3667,132.7667,80.55,83,75,5.75,JP,1627426279
301,Nikolayevskaya,47.6139,41.5023,71.08,61,58,8.39,RU,1627426281
302,Palenque/Temp,17.5167,-91.9667,87.85,72,30,2.59,MX,1627426282
303,São Gonçalo do Amarante,-3.6072,-38.9683,80.13,83,13,7.94,BR,1627426283
304,Luanda,-8.8368,13.2343,71.6,88,40,6.91,AO,1627426285
305,Solnechnyy,50.7214,136.6319,75.63,85,71,1.59,RU,1627426286
306,Narok,-1.0783,35.8601,59.58,74,100,3.2,KE,1627426287
307,Mildura,-34.2,142.15,55.36,88,75,8.05,AU,1627426288
308,The Pas,53.8251,-101.2541,80.62,47,75,9.22,CA,1627426290
309,Souillac,-20.5167,57.5167,68.36,100,75,19.57,MU,1627425574
310,Corinth,37.9407,22.9573,87.69,42,0,1.97,GR,1627426292
311,Province of Mantua,45.1667,10.7833,71.08,88,37,3.0,IT,1627426293
312,Cherskiy,68.75,161.3,38.21,78,100,18.52,RU,1627426295
313,Kastamonu Province,41.5,33.6667,56.57,88,0,4.34,TR,1627426296
314,Riyadh,24.6877,46.7219,104.14,12,59,11.97,SA,1627426077
315,Lata,40.1629,-8.3327,62.92,98,3,2.71,PT,1627426299
316,Port-Gentil,-0.7193,8.7815,75.16,88,20,4.61,GA,1627425849
317,Khanbari,27.3747,87.2039,73.0,88,99,2.59,NP,1627426301
318,Marsá Maţrūḩ,31.3525,27.2453,79.0,78,0,2.3,EG,1627426302
319,Lüderitz,-26.6481,15.1594,55.8,74,0,9.8,NA,1627425937
320,Yining,29.0361,114.5636,78.1,94,24,3.4,CN,1627426305
321,Tianpeng,30.9866,103.9393,73.87,75,10,2.26,CN,1627426306
322,Bahía Solano,6.2262,-77.4044,78.33,86,100,0.22,CO,1627426307
323,Beloha,-25.1667,45.05,61.95,76,0,13.71,MG,1627425813
324,Prieska,-29.6641,22.7474,49.66,41,1,5.88,ZA,1627426310
325,Bengkulu,-3.8004,102.2655,72.81,74,40,5.32,ID,1627426311
326,Ulladulla,-35.35,150.4667,61.77,42,50,5.91,AU,1627426312
327,Kieta,-6.2167,155.6333,81.97,77,98,2.17,PG,1627426314
328,Valparaíso,-33.0393,-71.6273,56.84,66,0,17.27,CL,1627426069
329,Yenagoa,4.9247,6.2642,73.63,86,99,3.74,NG,1627426316
330,Phan Thiet,10.9333,108.1,77.27,90,96,10.09,VN,1627426254
331,Mitsamiouli,-11.3847,43.2844,75.54,71,12,5.39,KM,1627425871
332,Mahajanga,-15.7167,46.3167,69.82,83,20,2.3,MG,1627426320
333,Anagé,-14.6122,-41.1356,73.65,53,12,5.64,BR,1627426321
334,Balakliya,49.4627,36.8595,68.83,53,0,4.18,UA,1627426322
335,Severo-Kuril'sk,50.6789,156.125,57.27,95,100,5.97,RU,1627426324
336,Baringo,0.4667,35.9667,68.88,80,100,8.79,KE,1627425837
337,Shelburne,44.0787,-80.2041,75.76,47,54,6.69,CA,1627426326
338,Nemuro,43.3236,145.575,65.28,93,99,8.28,JP,1627426328
339,Eyl,7.9803,49.8164,79.56,51,98,26.31,SO,1627426329
340,Rome,43.2128,-75.4557,71.74,89,90,3.44,US,1627426259
341,Andenes,69.3143,16.1194,52.07,100,90,9.22,NO,1627426331
342,Kaitangata,-46.2817,169.8464,51.93,64,83,4.03,NZ,1627426333
343,Chapais,49.7834,-74.8492,60.58,48,100,6.33,CA,1627425878
344,Soria,41.6667,-2.6667,67.01,78,77,5.46,ES,1627426335
345,São Gabriel da Cachoeira,-0.1303,-67.0892,75.99,89,100,1.36,BR,1627426336
346,Beringovskiy,63.05,179.3167,49.26,95,100,5.61,RU,1627426338
347,Srednekolymsk,67.45,153.6833,38.12,95,100,10.36,RU,1627425852
348,Gizo Government Station,-8.103,156.8419,82.8,74,86,8.1,SB,1627426340
349,Amudat,1.95,34.95,68.7,74,100,3.67,UG,1627426342
350,Beyneu,45.3167,55.2,79.47,21,99,9.84,KZ,1627425857
351,Chāībāsa,22.5667,85.8167,75.76,93,100,9.31,IN,1627426344
352,Nakamura,32.9833,132.9333,82.58,70,37,2.93,JP,1627426345
353,Flin Flon,54.7682,-101.865,80.44,39,20,10.36,CA,1627426347
354,Novy Urengoy,66.0833,76.6333,45.5,77,0,4.27,RU,1627426348
355,Chālūs,36.655,51.4204,80.06,83,75,0.0,IR,1627426349
356,Koslan,63.4564,48.8989,45.36,88,100,7.56,RU,1627426351
357,Noumea,-22.2763,166.4572,72.0,99,49,12.97,NC,1627425809
